id,jornada,local,visitante,terminado,resultado,cuando,url
22685,24,Racing,Getafe,0,,Dom 14/02 20:00h,https://www.futbolfantasy.com/partidos/22685-racing-getafe
22686,24,Real Sociedad,Betis,0,,Dom 14/02 20:00h,https://www.futbolfantasy.com/partidos/22686-real-sociedad-betis
22687,24,Sevilla,Espanyol,0,,Dom 14/02 20:00h,https://www.futbolfantasy.com/partidos/22687-sevilla-espanyol
22688,24,Valencia,Alavés,0,,Dom 14/02 20:00h,https://www.futbolfantasy.com/partidos/22688-valencia-alaves
22689,24,Villarreal,Barcelona,0,,Dom 14/02 20:00h,https://www.futbolfantasy.com/partidos/22689-villarreal-barcelona
22690,25,Athletic,Celta,0,,Dom 21/02 20:00h,https://www.futbolfantasy.com/partidos/22690-athletic-celta
22691,25,Atlético,Elche,0,,Dom 21/02 20:00h,https://www.futbolfantasy.com/partidos/22691-atletico-elche
22692,25,Alavés,Racing,0,,Dom 21/02 20:00h,https://www.futbolfantasy.com/partidos/22692-alaves-racing
22693,25,Deportivo,Real Sociedad,0,,Dom 21/02 20:00h,https://www.futbolfantasy.com/partidos/22693-deportivo-real-sociedad
22694,25,Espanyol,Osasuna,0,,Dom 21/02 20:00h,https://www.futbolfantasy.com/partidos/22694-espanyol-osasuna
22695,25,Barcelona,Levante,0,,Dom 21/02 20:00h,https://www.futbolfantasy.com/partidos/22695-barcelona-levante
22696,25,Málaga,Betis,0,,Dom 21/02 20:00h,https://www.futbolfantasy.com/partidos/22696-malaga-betis
22697,25,Rayo,Getafe,0,,Dom 21/02 20:00h,https://www.futbolfantasy.com/partidos/22697-rayo-getafe
22698,25,Sevilla,Real Madrid,0,,Dom 21/02 20:00h,https://www.futbolfantasy.com/partidos/22698-sevilla-real-madrid
22699,25,Villarreal,Valencia,0,,Dom 21/02 20:00h,https://www.futbolfantasy.com/partidos/22699-villarreal-valencia
22700,26,Athletic,Barcelona,0,,Dom 28/02 20:00h,https://www.futbolfantasy.com/partidos/22700-athletic-barcelona
22701,26,Celta,Espanyol,0,,Dom 28/02 20:00h,https://www.futbolfantasy.com/partidos/22701-celta-espanyol
22702,26,Getafe,Alavés,0,,Dom 28/02 20:00h,https://www.futbolfantasy.com/partidos/22702-getafe-alaves
22703,26,Levante,Deportivo,0,,Dom 28/02 20:00h,https://www.futbolfantasy.com/partidos/22703-levante-deportivo
22704,26,Málaga,Atlético,0,,Dom 28/02 20:00h,https://www.futbolfantasy.com/partidos/22704-malaga-atletico
22705,26,Osasuna,Sevilla,0,,Dom 28/02 20:00h,https://www.futbolfantasy.com/partidos/22705-osasuna-sevilla
22706,26,Betis,Villarreal,0,,Dom 28/02 20:00h,https://www.futbolfantasy.com/partidos/22706-betis-villarreal
22707,26,Real Madrid,Valencia,0,,Dom 28/02 20:00h,https://www.futbolfantasy.com/partidos/22707-real-madrid-valencia
22708,26,Racing,Rayo,0,,Dom 28/02 20:00h,https://www.futbolfantasy.com/partidos/22708-racing-rayo
22709,26,Real Sociedad,Elche,0,,Dom 28/02 20:00h,https://www.futbolfantasy.com/partidos/22709-real-sociedad-elche
22710,27,Atlético,Celta,0,,Dom 07/03 20:00h,https://www.futbolfantasy.com/partidos/22710-atletico-celta
22711,27,Alavés,Athletic,0,,Dom 07/03 20:00h,https://www.futbolfantasy.com/partidos/22711-alaves-athletic
22712,27,Deportivo,Getafe,0,,Dom 07/03 20:00h,https://www.futbolfantasy.com/partidos/22712-deportivo-getafe
22713,27,Elche,Málaga,0,,Dom 07/03 20:00h,https://www.futbolfantasy.com/partidos/22713-elche-malaga
22714,27,Espanyol,Racing,0,,Dom 07/03 20:00h,https://www.futbolfantasy.com/partidos/22714-espanyol-racing
22715,27,Barcelona,Betis,0,,Dom 07/03 20:00h,https://www.futbolfantasy.com/partidos/22715-barcelona-betis
22716,27,Rayo,Osasuna,0,,Dom 07/03 20:00h,https://www.futbolfantasy.com/partidos/22716-rayo-osasuna
22717,27,Sevilla,Real Sociedad,0,,Dom 07/03 20:00h,https://www.futbolfantasy.com/partidos/22717-sevilla-real-sociedad
22718,27,Valencia,Levante,0,,Dom 07/03 20:00h,https://www.futbolfantasy.com/partidos/22718-valencia-levante
22719,27,Villarreal,Real Madrid,0,,Dom 07/03 20:00h,https://www.futbolfantasy.com/partidos/22719-villarreal-real-madrid
22720,28,Athletic,Valencia,0,,Dom 14/03 20:00h,https://www.futbolfantasy.com/partidos/22720-athletic-valencia
22721,28,Alavés,Sevilla,0,,Dom 14/03 20:00h,https://www.futbolfantasy.com/partidos/22721-alaves-sevilla
22722,28,Elche,Villarreal,0,,Dom 14/03 20:00h,https://www.futbolfantasy.com/partidos/22722-elche-villarreal
22723,28,Barcelona,Deportivo,0,,Dom 14/03 20:00h,https://www.futbolfantasy.com/partidos/22723-barcelona-deportivo
22724,28,Getafe,Real Sociedad,0,,Dom 14/03 20:00h,https://www.futbolfantasy.com/partidos/22724-getafe-real-sociedad
22725,28,Málaga,Rayo,0,,Dom 14/03 20:00h,https://www.futbolfantasy.com/partidos/22725-malaga-rayo
22726,28,Osasuna,Celta,0,,Dom 14/03 20:00h,https://www.futbolfantasy.com/partidos/22726-osasuna-celta
22727,28,Betis,Levante,0,,Dom 14/03 20:00h,https://www.futbolfantasy.com/partidos/22727-betis-levante
22728,28,Real Madrid,Espanyol,0,,Dom 14/03 20:00h,https://www.futbolfantasy.com/partidos/22728-real-madrid-espanyol
22729,28,Racing,Atlético,0,,Dom 14/03 20:00h,https://www.futbolfantasy.com/partidos/22729-racing-atletico
22730,29,Atlético,Getafe,0,,Dom 21/03 20:00h,https://www.futbolfantasy.com/partidos/22730-atletico-getafe
22731,29,Celta,Real Madrid,0,,Dom 21/03 20:00h,https://www.futbolfantasy.com/partidos/22731-celta-real-madrid
22732,29,Espanyol,Athletic,0,,Dom 21/03 20:00h,https://www.futbolfantasy.com/partidos/22732-espanyol-athletic
22733,29,Levante,Osasuna,0,,Dom 21/03 20:00h,https://www.futbolfantasy.com/partidos/22733-levante-osasuna
22734,29,Rayo,Barcelona,0,,Dom 21/03 20:00h,https://www.futbolfantasy.com/partidos/22734-rayo-barcelona
22735,29,Racing,Betis,0,,Dom 21/03 20:00h,https://www.futbolfantasy.com/partidos/22735-racing-betis
22736,29,Real Sociedad,Alavés,0,,Dom 21/03 20:00h,https://www.futbolfantasy.com/partidos/22736-real-sociedad-alaves
22737,29,Sevilla,Elche,0,,Dom 21/03 20:00h,https://www.futbolfantasy.com/partidos/22737-sevilla-elche
22738,29,Valencia,Deportivo,0,,Dom 21/03 20:00h,https://www.futbolfantasy.com/partidos/22738-valencia-deportivo
22739,29,Villarreal,Málaga,0,,Dom 21/03 20:00h,https://www.futbolfantasy.com/partidos/22739-villarreal-malaga
22740,30,Athletic,Racing,0,,Dom 04/04 21:00h,https://www.futbolfantasy.com/partidos/22740-athletic-racing
22741,30,Deportivo,Villarreal,0,,Dom 04/04 21:00h,https://www.futbolfantasy.com/partidos/22741-deportivo-villarreal
22742,30,Elche,Alavés,0,,Dom 04/04 21:00h,https://www.futbolfantasy.com/partidos/22742-elche-alaves
22743,30,Barcelona,Sevilla,0,,Dom 04/04 21:00h,https://www.futbolfantasy.com/partidos/22743-barcelona-sevilla
22744,30,Getafe,Espanyol,0,,Dom 04/04 21:00h,https://www.futbolfantasy.com/partidos/22744-getafe-espanyol
22745,30,Levante,Rayo,0,,Dom 04/04 21:00h,https://www.futbolfantasy.com/partidos/22745-levante-rayo
22746,30,Málaga,Osasuna,0,,Dom 04/04 21:00h,https://www.futbolfantasy.com/partidos/22746-malaga-osasuna
22747,30,Betis,Celta,0,,Dom 04/04 21:00h,https://www.futbolfantasy.com/partidos/22747-betis-celta
22748,30,Real Madrid,Atlético,0,,Dom 04/04 21:00h,https://www.futbolfantasy.com/partidos/22748-real-madrid-atletico
22749,30,Real Sociedad,Valencia,0,,Dom 04/04 21:00h,https://www.futbolfantasy.com/partidos/22749-real-sociedad-valencia
22750,31,Atlético,Levante,0,,Dom 11/04 21:00h,https://www.futbolfantasy.com/partidos/22750-atletico-levante
22751,31,Celta,Elche,0,,Dom 11/04 21:00h,https://www.futbolfantasy.com/partidos/22751-celta-elche
22752,31,Alavés,Betis,0,,Dom 11/04 21:00h,https://www.futbolfantasy.com/partidos/22752-alaves-betis
22753,31,Espanyol,Málaga,0,,Dom 11/04 21:00h,https://www.futbolfantasy.com/partidos/22753-espanyol-malaga
22754,31,Osasuna,Real Madrid,0,,Dom 11/04 21:00h,https://www.futbolfantasy.com/partidos/22754-osasuna-real-madrid
22755,31,Rayo,Real Sociedad,0,,Dom 11/04 21:00h,https://www.futbolfantasy.com/partidos/22755-rayo-real-sociedad
22756,31,Racing,Barcelona,0,,Dom 11/04 21:00h,https://www.futbolfantasy.com/partidos/22756-racing-barcelona
22757,31,Sevilla,Deportivo,0,,Dom 11/04 21:00h,https://www.futbolfantasy.com/partidos/22757-sevilla-deportivo
22758,31,Valencia,Getafe,0,,Dom 11/04 21:00h,https://www.futbolfantasy.com/partidos/22758-valencia-getafe
22759,31,Villarreal,Athletic,0,,Dom 11/04 21:00h,https://www.futbolfantasy.com/partidos/22759-villarreal-athletic
22760,32,Atlético,Sevilla,0,,Dom 18/04 21:00h,https://www.futbolfantasy.com/partidos/22760-atletico-sevilla
22761,32,Alavés,Rayo,0,,Dom 18/04 21:00h,https://www.futbolfantasy.com/partidos/22761-alaves-rayo
22762,32,Deportivo,Celta,0,,Dom 18/04 21:00h,https://www.futbolfantasy.com/partidos/22762-deportivo-celta
22763,32,Elche,Osasuna,0,,Dom 18/04 21:00h,https://www.futbolfantasy.com/partidos/22763-elche-osasuna
22764,32,Barcelona,Espanyol,0,,Dom 18/04 21:00h,https://www.futbolfantasy.com/partidos/22764-barcelona-espanyol
22765,32,Getafe,Real Madrid,0,,Dom 18/04 21:00h,https://www.futbolfantasy.com/partidos/22765-getafe-real-madrid
22766,32,Levante,Villarreal,0,,Dom 18/04 21:00h,https://www.futbolfantasy.com/partidos/22766-levante-villarreal
22767,32,Málaga,Valencia,0,,Dom 18/04 21:00h,https://www.futbolfantasy.com/partidos/22767-malaga-valencia
22768,32,Betis,Athletic,0,,Dom 18/04 21:00h,https://www.futbolfantasy.com/partidos/22768-betis-athletic
22769,32,Real Sociedad,Racing,0,,Dom 18/04 21:00h,https://www.futbolfantasy.com/partidos/22769-real-sociedad-racing
22770,33,Athletic,Deportivo,0,,Mie 21/04 21:00h,https://www.futbolfantasy.com/partidos/22770-athletic-deportivo
22771,33,Celta,Barcelona,0,,Mie 21/04 21:00h,https://www.futbolfantasy.com/partidos/22771-celta-barcelona
22772,33,Espanyol,Real Sociedad,0,,Mie 21/04 21:00h,https://www.futbolfantasy.com/partidos/22772-espanyol-real-sociedad
22773,33,Getafe,Betis,0,,Mie 21/04 21:00h,https://www.futbolfantasy.com/partidos/22773-getafe-betis
22774,33,Osasuna,Alavés,0,,Mie 21/04 21:00h,https://www.futbolfantasy.com/partidos/22774-osasuna-alaves
22775,33,Real Madrid,Elche,0,,Mie 21/04 21:00h,https://www.futbolfantasy.com/partidos/22775-real-madrid-elche
22776,33,Racing,Málaga,0,,Mie 21/04 21:00h,https://www.futbolfantasy.com/partidos/22776-racing-malaga
22777,33,Sevilla,Levante,0,,Mie 21/04 21:00h,https://www.futbolfantasy.com/partidos/22777-sevilla-levante
22778,33,Valencia,Rayo,0,,Mie 21/04 21:00h,https://www.futbolfantasy.com/partidos/22778-valencia-rayo
22779,33,Villarreal,Atlético,0,,Mie 21/04 21:00h,https://www.futbolfantasy.com/partidos/22779-villarreal-atletico
22780,34,Atlético,Alavés,0,,Dom 02/05 21:00h,https://www.futbolfantasy.com/partidos/22780-atletico-alaves
22781,34,Celta,Sevilla,0,,Dom 02/05 21:00h,https://www.futbolfantasy.com/partidos/22781-celta-sevilla
22782,34,Deportivo,Racing,0,,Dom 02/05 21:00h,https://www.futbolfantasy.com/partidos/22782-deportivo-racing
22783,34,Elche,Espanyol,0,,Dom 02/05 21:00h,https://www.futbolfantasy.com/partidos/22783-elche-espanyol
22784,34,Barcelona,Osasuna,0,,Dom 02/05 21:00h,https://www.futbolfantasy.com/partidos/22784-barcelona-osasuna
22785,34,Levante,Real Madrid,0,,Dom 02/05 21:00h,https://www.futbolfantasy.com/partidos/22785-levante-real-madrid
22786,34,Málaga,Getafe,0,,Dom 02/05 21:00h,https://www.futbolfantasy.com/partidos/22786-malaga-getafe
22787,34,Rayo,Villarreal,0,,Dom 02/05 21:00h,https://www.futbolfantasy.com/partidos/22787-rayo-villarreal
22788,34,Betis,Valencia,0,,Dom 02/05 21:00h,https://www.futbolfantasy.com/partidos/22788-betis-valencia
22789,34,Real Sociedad,Athletic,0,,Dom 02/05 21:00h,https://www.futbolfantasy.com/partidos/22789-real-sociedad-athletic
22790,35,Athletic,Málaga,0,,Dom 09/05 21:00h,https://www.futbolfantasy.com/partidos/22790-athletic-malaga
22791,35,Alavés,Levante,0,,Dom 09/05 21:00h,https://www.futbolfantasy.com/partidos/22791-alaves-levante
22792,35,Getafe,Elche,0,,Dom 09/05 21:00h,https://www.futbolfantasy.com/partidos/22792-getafe-elche
22793,35,Osasuna,Real Sociedad,0,,Dom 09/05 21:00h,https://www.futbolfantasy.com/partidos/22793-osasuna-real-sociedad
22794,35,Rayo,Deportivo,0,,Dom 09/05 21:00h,https://www.futbolfantasy.com/partidos/22794-rayo-deportivo
22795,35,Betis,Espanyol,0,,Dom 09/05 21:00h,https://www.futbolfantasy.com/partidos/22795-betis-espanyol
22796,35,Real Madrid,Barcelona,0,,Dom 09/05 21:00h,https://www.futbolfantasy.com/partidos/22796-real-madrid-barcelona
22797,35,Racing,Sevilla,0,,Dom 09/05 21:00h,https://www.futbolfantasy.com/partidos/22797-racing-sevilla
22798,35,Valencia,Atlético,0,,Dom 09/05 21:00h,https://www.futbolfantasy.com/partidos/22798-valencia-atletico
22799,35,Villarreal,Celta,0,,Dom 09/05 21:00h,https://www.futbolfantasy.com/partidos/22799-villarreal-celta
22800,36,Atlético,Rayo,0,,Dom 16/05 21:00h,https://www.futbolfantasy.com/partidos/22800-atletico-rayo
22801,36,Deportivo,Alavés,0,,Dom 16/05 21:00h,https://www.futbolfantasy.com/partidos/22801-deportivo-alaves
22802,36,Elche,Athletic,0,,Dom 16/05 21:00h,https://www.futbolfantasy.com/partidos/22802-elche-athletic
22803,36,Espanyol,Valencia,0,,Dom 16/05 21:00h,https://www.futbolfantasy.com/partidos/22803-espanyol-valencia
22804,36,Levante,Getafe,0,,Dom 16/05 21:00h,https://www.futbolfantasy.com/partidos/22804-levante-getafe
22805,36,Málaga,Celta,0,,Dom 16/05 21:00h,https://www.futbolfantasy.com/partidos/22805-malaga-celta
22806,36,Osasuna,Betis,0,,Dom 16/05 21:00h,https://www.futbolfantasy.com/partidos/22806-osasuna-betis
22807,36,Real Madrid,Racing,0,,Dom 16/05 21:00h,https://www.futbolfantasy.com/partidos/22807-real-madrid-racing
22808,36,Real Sociedad,Barcelona,0,,Dom 16/05 21:00h,https://www.futbolfantasy.com/partidos/22808-real-sociedad-barcelona
22809,36,Sevilla,Villarreal,0,,Dom 16/05 21:00h,https://www.futbolfantasy.com/partidos/22809-sevilla-villarreal
22810,37,Alavés,Real Madrid,0,,Dom 23/05 21:00h,https://www.futbolfantasy.com/partidos/22810-alaves-real-madrid
22811,37,Atlético,Athletic,0,,Dom 23/05 21:00h,https://www.futbolfantasy.com/partidos/22811-atletico-athletic
22812,37,Celta,Real Sociedad,0,,Dom 23/05 21:00h,https://www.futbolfantasy.com/partidos/22812-celta-real-sociedad
22813,37,Deportivo,Espanyol,0,,Dom 23/05 21:00h,https://www.futbolfantasy.com/partidos/22813-deportivo-espanyol
22814,37,Barcelona,Málaga,0,,Dom 23/05 21:00h,https://www.futbolfantasy.com/partidos/22814-barcelona-malaga
22815,37,Rayo,Betis,0,,Dom 23/05 21:00h,https://www.futbolfantasy.com/partidos/22815-rayo-betis
22816,37,Racing,Levante,0,,Dom 23/05 21:00h,https://www.futbolfantasy.com/partidos/22816-racing-levante
22817,37,Sevilla,Getafe,0,,Dom 23/05 21:00h,https://www.futbolfantasy.com/partidos/22817-sevilla-getafe
22818,37,Valencia,Elche,0,,Dom 23/05 21:00h,https://www.futbolfantasy.com/partidos/22818-valencia-elche
22819,37,Villarreal,Osasuna,0,,Dom 23/05 21:00h,https://www.futbolfantasy.com/partidos/22819-villarreal-osasuna
22820,38,Athletic,Rayo,0,,Dom 30/05 21:00h,https://www.futbolfantasy.com/partidos/22820-athletic-rayo
22821,38,Elche,Racing,0,,Dom 30/05 21:00h,https://www.futbolfantasy.com/partidos/22821-elche-racing
22822,38,Espanyol,Alavés,0,,Dom 30/05 21:00h,https://www.futbolfantasy.com/partidos/22822-espanyol-alaves
22823,38,Getafe,Barcelona,0,,Dom 30/05 21:00h,https://www.futbolfantasy.com/partidos/22823-getafe-barcelona
22824,38,Levante,Celta,0,,Dom 30/05 21:00h,https://www.futbolfantasy.com/partidos/22824-levante-celta
22825,38,Málaga,Sevilla,0,,Dom 30/05 21:00h,https://www.futbolfantasy.com/partidos/22825-malaga-sevilla
22826,38,Osasuna,Valencia,0,,Dom 30/05 21:00h,https://www.futbolfantasy.com/partidos/22826-osasuna-valencia
22827,38,Betis,Atlético,0,,Dom 30/05 21:00h,https://www.futbolfantasy.com/partidos/22827-betis-atletico
22828,38,Real Madrid,Deportivo,0,,Dom 30/05 21:00h,https://www.futbolfantasy.com/partidos/22828-real-madrid-deportivo
22829,38,Real Sociedad,Villarreal,0,,Dom 30/05 21:00h,https://www.futbolfantasy.com/partidos/22829-real-sociedad-villarreal
