id,jornada,local,visitante,terminado,resultado,cuando,url
22483,7,Athletic,Alavés,0,,Sab 19/09 16:15h,https://www.futbolfantasy.com/partidos/22483-athletic-alaves
22484,7,Atlético,Real Madrid,0,,Dom 20/09 16:15h,https://www.futbolfantasy.com/partidos/22484-atletico-real-madrid
22485,7,Celta,Racing,0,,Sab 19/09 18:30h,https://www.futbolfantasy.com/partidos/22485-celta-racing
22486,7,Deportivo,Betis,0,,Dom 20/09 18:30h,https://www.futbolfantasy.com/partidos/22486-deportivo-betis
22487,7,Espanyol,Elche,1,1-3,,https://www.futbolfantasy.com/partidos/22487-espanyol-elche
22488,7,Getafe,Málaga,0,,Dom 20/09 14:00h,https://www.futbolfantasy.com/partidos/22488-getafe-malaga
22489,7,Osasuna,Rayo,0,,Sab 19/09 14:00h,https://www.futbolfantasy.com/partidos/22489-osasuna-rayo
22490,7,Sevilla,Barcelona,0,,Sab 19/09 21:00h,https://www.futbolfantasy.com/partidos/22490-sevilla-barcelona
22491,7,Valencia,Real Sociedad,0,,Dom 20/09 21:00h,https://www.futbolfantasy.com/partidos/22491-valencia-real-sociedad
22492,7,Villarreal,Levante,0,,Dom 20/09 18:30h,https://www.futbolfantasy.com/partidos/22492-villarreal-levante
22493,8,Alavés,Atlético,0,,Dom 11/10 21:00h,https://www.futbolfantasy.com/partidos/22493-alaves-atletico
22494,8,Elche,Celta,0,,Dom 11/10 21:00h,https://www.futbolfantasy.com/partidos/22494-elche-celta
22495,8,Barcelona,Getafe,0,,Dom 11/10 21:00h,https://www.futbolfantasy.com/partidos/22495-barcelona-getafe
22496,8,Levante,Sevilla,0,,Lun 12/10 21:00h,https://www.futbolfantasy.com/partidos/22496-levante-sevilla
22497,8,Málaga,Espanyol,0,,Dom 11/10 21:00h,https://www.futbolfantasy.com/partidos/22497-malaga-espanyol
22498,8,Rayo,Athletic,0,,Dom 11/10 21:00h,https://www.futbolfantasy.com/partidos/22498-rayo-athletic
22499,8,Betis,Osasuna,0,,Dom 11/10 21:00h,https://www.futbolfantasy.com/partidos/22499-betis-osasuna
22500,8,Real Madrid,Villarreal,0,,Sab 10/10 21:00h,https://www.futbolfantasy.com/partidos/22500-real-madrid-villarreal
22501,8,Racing,Valencia,0,,Dom 11/10 21:00h,https://www.futbolfantasy.com/partidos/22501-racing-valencia
22502,8,Real Sociedad,Deportivo,0,,Dom 11/10 16:15h,https://www.futbolfantasy.com/partidos/22502-real-sociedad-deportivo
22503,9,Celta,Alavés,0,,Dom 18/10 16:15h,https://www.futbolfantasy.com/partidos/22503-celta-alaves
22504,9,Deportivo,Levante,0,,Vie 16/10 21:00h,https://www.futbolfantasy.com/partidos/22504-deportivo-levante
22505,9,Espanyol,Atlético,0,,Sab 17/10 14:00h,https://www.futbolfantasy.com/partidos/22505-espanyol-atletico
22506,9,Getafe,Rayo,0,,Lun 19/10 21:00h,https://www.futbolfantasy.com/partidos/22506-getafe-rayo
22507,9,Málaga,Real Sociedad,0,,Dom 18/10 18:30h,https://www.futbolfantasy.com/partidos/22507-malaga-real-sociedad
22508,9,Osasuna,Racing,0,,Dom 18/10 14:00h,https://www.futbolfantasy.com/partidos/22508-osasuna-racing
22509,9,Betis,Barcelona,0,,Sab 17/10 18:30h,https://www.futbolfantasy.com/partidos/22509-betis-barcelona
22510,9,Real Madrid,Sevilla,0,,Dom 18/10 21:00h,https://www.futbolfantasy.com/partidos/22510-real-madrid-sevilla
22511,9,Valencia,Athletic,0,,Sab 17/10 21:00h,https://www.futbolfantasy.com/partidos/22511-valencia-athletic
22512,9,Villarreal,Elche,0,,Sab 17/10 16:15h,https://www.futbolfantasy.com/partidos/22512-villarreal-elche
22513,10,Athletic,Getafe,0,,Dom 25/10 20:00h,https://www.futbolfantasy.com/partidos/22513-athletic-getafe
22514,10,Atlético,Deportivo,0,,Dom 25/10 20:00h,https://www.futbolfantasy.com/partidos/22514-atletico-deportivo
22515,10,Celta,Betis,0,,Dom 25/10 20:00h,https://www.futbolfantasy.com/partidos/22515-celta-betis
22516,10,Alavés,Málaga,0,,Dom 25/10 20:00h,https://www.futbolfantasy.com/partidos/22516-alaves-malaga
22517,10,Barcelona,Real Madrid,0,,Dom 25/10 21:00h,https://www.futbolfantasy.com/partidos/22517-barcelona-real-madrid
22518,10,Rayo,Elche,0,,Dom 25/10 20:00h,https://www.futbolfantasy.com/partidos/22518-rayo-elche
22519,10,Racing,Espanyol,0,,Dom 25/10 20:00h,https://www.futbolfantasy.com/partidos/22519-racing-espanyol
22520,10,Real Sociedad,Levante,0,,Dom 25/10 20:00h,https://www.futbolfantasy.com/partidos/22520-real-sociedad-levante
22521,10,Sevilla,Osasuna,0,,Dom 25/10 20:00h,https://www.futbolfantasy.com/partidos/22521-sevilla-osasuna
22522,10,Valencia,Villarreal,0,,Dom 25/10 20:00h,https://www.futbolfantasy.com/partidos/22522-valencia-villarreal
22523,11,Athletic,Real Sociedad,0,,Dom 01/11 20:00h,https://www.futbolfantasy.com/partidos/22523-athletic-real-sociedad
22524,11,Deportivo,Osasuna,0,,Dom 01/11 20:00h,https://www.futbolfantasy.com/partidos/22524-deportivo-osasuna
22525,11,Elche,Valencia,0,,Dom 01/11 20:00h,https://www.futbolfantasy.com/partidos/22525-elche-valencia
22526,11,Barcelona,Alavés,0,,Dom 01/11 20:00h,https://www.futbolfantasy.com/partidos/22526-barcelona-alaves
22527,11,Getafe,Sevilla,0,,Dom 01/11 20:00h,https://www.futbolfantasy.com/partidos/22527-getafe-sevilla
22528,11,Levante,Atlético,0,,Dom 01/11 20:00h,https://www.futbolfantasy.com/partidos/22528-levante-atletico
22529,11,Rayo,Celta,0,,Dom 01/11 20:00h,https://www.futbolfantasy.com/partidos/22529-rayo-celta
22530,11,Betis,Málaga,0,,Dom 01/11 20:00h,https://www.futbolfantasy.com/partidos/22530-betis-malaga
22531,11,Racing,Real Madrid,0,,Dom 01/11 20:00h,https://www.futbolfantasy.com/partidos/22531-racing-real-madrid
22532,11,Villarreal,Espanyol,0,,Dom 01/11 20:00h,https://www.futbolfantasy.com/partidos/22532-villarreal-espanyol
22533,12,Atlético,Barcelona,0,,Dom 08/11 20:00h,https://www.futbolfantasy.com/partidos/22533-atletico-barcelona
22534,12,Celta,Levante,0,,Dom 08/11 20:00h,https://www.futbolfantasy.com/partidos/22534-celta-levante
22535,12,Elche,Betis,0,,Dom 08/11 20:00h,https://www.futbolfantasy.com/partidos/22535-elche-betis
22536,12,Espanyol,Deportivo,0,,Dom 08/11 20:00h,https://www.futbolfantasy.com/partidos/22536-espanyol-deportivo
22537,12,Málaga,Racing,0,,Dom 08/11 20:00h,https://www.futbolfantasy.com/partidos/22537-malaga-racing
22538,12,Osasuna,Athletic,0,,Dom 08/11 20:00h,https://www.futbolfantasy.com/partidos/22538-osasuna-athletic
22539,12,Real Sociedad,Rayo,0,,Dom 08/11 20:00h,https://www.futbolfantasy.com/partidos/22539-real-sociedad-rayo
22540,12,Sevilla,Alavés,0,,Dom 08/11 20:00h,https://www.futbolfantasy.com/partidos/22540-sevilla-alaves
22541,12,Valencia,Real Madrid,0,,Dom 08/11 20:00h,https://www.futbolfantasy.com/partidos/22541-valencia-real-madrid
22542,12,Villarreal,Getafe,0,,Dom 08/11 20:00h,https://www.futbolfantasy.com/partidos/22542-villarreal-getafe
22543,13,Athletic,Espanyol,0,,Dom 22/11 20:00h,https://www.futbolfantasy.com/partidos/22543-athletic-espanyol
22544,13,Alavés,Deportivo,0,,Dom 22/11 20:00h,https://www.futbolfantasy.com/partidos/22544-alaves-deportivo
22545,13,Barcelona,Villarreal,0,,Dom 22/11 20:00h,https://www.futbolfantasy.com/partidos/22545-barcelona-villarreal
22546,13,Getafe,Atlético,0,,Dom 22/11 20:00h,https://www.futbolfantasy.com/partidos/22546-getafe-atletico
22547,13,Levante,Elche,0,,Dom 22/11 20:00h,https://www.futbolfantasy.com/partidos/22547-levante-elche
22548,13,Osasuna,Málaga,0,,Dom 22/11 20:00h,https://www.futbolfantasy.com/partidos/22548-osasuna-malaga
22549,13,Rayo,Valencia,0,,Dom 22/11 20:00h,https://www.futbolfantasy.com/partidos/22549-rayo-valencia
22550,13,Real Madrid,Celta,0,,Dom 22/11 20:00h,https://www.futbolfantasy.com/partidos/22550-real-madrid-celta
22551,13,Racing,Real Sociedad,0,,Dom 22/11 20:00h,https://www.futbolfantasy.com/partidos/22551-racing-real-sociedad
22552,13,Sevilla,Betis,0,,Dom 22/11 20:00h,https://www.futbolfantasy.com/partidos/22552-sevilla-betis
22553,14,Celta,Villarreal,0,,Dom 29/11 20:00h,https://www.futbolfantasy.com/partidos/22553-celta-villarreal
22554,14,Deportivo,Barcelona,0,,Dom 29/11 20:00h,https://www.futbolfantasy.com/partidos/22554-deportivo-barcelona
22555,14,Elche,Atlético,0,,Dom 29/11 20:00h,https://www.futbolfantasy.com/partidos/22555-elche-atletico
22556,14,Espanyol,Getafe,0,,Dom 29/11 20:00h,https://www.futbolfantasy.com/partidos/22556-espanyol-getafe
22557,14,Levante,Racing,0,,Dom 29/11 20:00h,https://www.futbolfantasy.com/partidos/22557-levante-racing
22558,14,Málaga,Athletic,0,,Dom 29/11 20:00h,https://www.futbolfantasy.com/partidos/22558-malaga-athletic
22559,14,Betis,Rayo,0,,Dom 29/11 20:00h,https://www.futbolfantasy.com/partidos/22559-betis-rayo
22560,14,Real Madrid,Alavés,0,,Dom 29/11 20:00h,https://www.futbolfantasy.com/partidos/22560-real-madrid-alaves
22588,14,Real Sociedad,Sevilla,0,,Dom 29/11 20:00h,https://www.futbolfantasy.com/partidos/22588-real-sociedad-sevilla
22589,14,Valencia,Osasuna,0,,Dom 29/11 20:00h,https://www.futbolfantasy.com/partidos/22589-valencia-osasuna
22590,15,Athletic,Real Madrid,0,,Dom 06/12 20:00h,https://www.futbolfantasy.com/partidos/22590-athletic-real-madrid
22591,15,Atlético,Betis,0,,Dom 06/12 20:00h,https://www.futbolfantasy.com/partidos/22591-atletico-betis
22592,15,Alavés,Espanyol,0,,Dom 06/12 20:00h,https://www.futbolfantasy.com/partidos/22592-alaves-espanyol
22593,15,Barcelona,Celta,0,,Dom 06/12 20:00h,https://www.futbolfantasy.com/partidos/22593-barcelona-celta
22594,15,Getafe,Valencia,0,,Dom 06/12 20:00h,https://www.futbolfantasy.com/partidos/22594-getafe-valencia
22595,15,Osasuna,Elche,0,,Dom 06/12 20:00h,https://www.futbolfantasy.com/partidos/22595-osasuna-elche
22596,15,Rayo,Levante,0,,Dom 06/12 20:00h,https://www.futbolfantasy.com/partidos/22596-rayo-levante
22597,15,Racing,Deportivo,0,,Dom 06/12 20:00h,https://www.futbolfantasy.com/partidos/22597-racing-deportivo
22598,15,Sevilla,Málaga,0,,Dom 06/12 20:00h,https://www.futbolfantasy.com/partidos/22598-sevilla-malaga
