id,slug,url
22500,real-madrid-villarreal,https://www.futbolfantasy.com/partidos/22500-real-madrid-villarreal
22501,racing-valencia,https://www.futbolfantasy.com/partidos/22501-racing-valencia
22502,real-sociedad-deportivo,https://www.futbolfantasy.com/partidos/22502-real-sociedad-deportivo
22503,celta-alaves,https://www.futbolfantasy.com/partidos/22503-celta-alaves
22504,deportivo-levante,https://www.futbolfantasy.com/partidos/22504-deportivo-levante
22505,espanyol-atletico,https://www.futbolfantasy.com/partidos/22505-espanyol-atletico
22506,getafe-rayo,https://www.futbolfantasy.com/partidos/22506-getafe-rayo
22507,malaga-real-sociedad,https://www.futbolfantasy.com/partidos/22507-malaga-real-sociedad
22508,osasuna-racing,https://www.futbolfantasy.com/partidos/22508-osasuna-racing
22509,betis-barcelona,https://www.futbolfantasy.com/partidos/22509-betis-barcelona
22510,real-madrid-sevilla,https://www.futbolfantasy.com/partidos/22510-real-madrid-sevilla
22511,valencia-athletic,https://www.futbolfantasy.com/partidos/22511-valencia-athletic
22512,villarreal-elche,https://www.futbolfantasy.com/partidos/22512-villarreal-elche
22513,athletic-getafe,https://www.futbolfantasy.com/partidos/22513-athletic-getafe
22514,atletico-deportivo,https://www.futbolfantasy.com/partidos/22514-atletico-deportivo
22515,celta-betis,https://www.futbolfantasy.com/partidos/22515-celta-betis
22516,alaves-malaga,https://www.futbolfantasy.com/partidos/22516-alaves-malaga
22517,barcelona-real-madrid,https://www.futbolfantasy.com/partidos/22517-barcelona-real-madrid
22518,rayo-elche,https://www.futbolfantasy.com/partidos/22518-rayo-elche
22519,racing-espanyol,https://www.futbolfantasy.com/partidos/22519-racing-espanyol
22520,real-sociedad-levante,https://www.futbolfantasy.com/partidos/22520-real-sociedad-levante
22521,sevilla-osasuna,https://www.futbolfantasy.com/partidos/22521-sevilla-osasuna
22522,valencia-villarreal,https://www.futbolfantasy.com/partidos/22522-valencia-villarreal
22523,athletic-real-sociedad,https://www.futbolfantasy.com/partidos/22523-athletic-real-sociedad
22524,deportivo-osasuna,https://www.futbolfantasy.com/partidos/22524-deportivo-osasuna
22525,elche-valencia,https://www.futbolfantasy.com/partidos/22525-elche-valencia
22526,barcelona-alaves,https://www.futbolfantasy.com/partidos/22526-barcelona-alaves
22527,getafe-sevilla,https://www.futbolfantasy.com/partidos/22527-getafe-sevilla
22528,levante-atletico,https://www.futbolfantasy.com/partidos/22528-levante-atletico
22529,rayo-celta,https://www.futbolfantasy.com/partidos/22529-rayo-celta
22530,betis-malaga,https://www.futbolfantasy.com/partidos/22530-betis-malaga
22531,racing-real-madrid,https://www.futbolfantasy.com/partidos/22531-racing-real-madrid
22532,villarreal-espanyol,https://www.futbolfantasy.com/partidos/22532-villarreal-espanyol
22533,atletico-barcelona,https://www.futbolfantasy.com/partidos/22533-atletico-barcelona
22534,celta-levante,https://www.futbolfantasy.com/partidos/22534-celta-levante
22535,elche-betis,https://www.futbolfantasy.com/partidos/22535-elche-betis
22536,espanyol-deportivo,https://www.futbolfantasy.com/partidos/22536-espanyol-deportivo
22537,malaga-racing,https://www.futbolfantasy.com/partidos/22537-malaga-racing
22538,osasuna-athletic,https://www.futbolfantasy.com/partidos/22538-osasuna-athletic
