jornada,lado,jugador,slug,evento,cantidad,puntos_lf,partido
1,local,Sivera,,Minutos jugados,90.0,2.0,22421-alaves-getafe
1,local,Sivera,,Goles en contra,0.0,4.0,22421-alaves-getafe
1,local,Jonny,,Minutos jugados,90.0,2.0,22421-alaves-getafe
1,local,Jonny,,Goles en contra,0.0,3.0,22421-alaves-getafe
1,local,Tenaglia,,Minutos jugados,90.0,2.0,22421-alaves-getafe
1,local,Tenaglia,,Goles,1.0,6.0,22421-alaves-getafe
1,local,Tenaglia,,Goles en contra,0.0,3.0,22421-alaves-getafe
1,local,Ángel Pérez,,Minutos jugados,65.0,2.0,22421-alaves-getafe
1,local,Ángel Pérez,,Goles en contra,0.0,1.0,22421-alaves-getafe
1,local,Koski,,Minutos jugados,90.0,2.0,22421-alaves-getafe
1,local,Koski,,Goles en contra,0.0,3.0,22421-alaves-getafe
1,local,Denis Suárez,,Minutos jugados,57.0,1.0,22421-alaves-getafe
1,local,Denis Suárez,,Tarjetas amarillas,1.0,-1.0,22421-alaves-getafe
1,local,Blanco,,Minutos jugados,89.0,2.0,22421-alaves-getafe
1,local,Blanco,,Goles en contra,0.0,2.0,22421-alaves-getafe
1,local,Blanco,,Tarjetas amarillas,1.0,-1.0,22421-alaves-getafe
1,local,Ibáñez,,Minutos jugados,90.0,2.0,22421-alaves-getafe
1,local,Ibáñez,,Goles en contra,0.0,2.0,22421-alaves-getafe
1,local,Rebbach,,Minutos jugados,89.0,2.0,22421-alaves-getafe
1,local,Rebbach,,Goles en contra,0.0,1.0,22421-alaves-getafe
1,local,Rebbach,,Tarjetas amarillas,1.0,-1.0,22421-alaves-getafe
1,local,Toni Martinez,,Minutos jugados,90.0,2.0,22421-alaves-getafe
1,local,Toni Martinez,,Goles en contra,0.0,1.0,22421-alaves-getafe
1,local,Aitor Mañas,,Minutos jugados,57.0,1.0,22421-alaves-getafe
1,local,Youssef,,Minutos jugados,25.0,1.0,22421-alaves-getafe
1,local,Aleñá,,Minutos jugados,1.0,1.0,22421-alaves-getafe
1,local,Guevara,,Minutos jugados,1.0,1.0,22421-alaves-getafe
1,local,Mikel Rodriguez,,Minutos jugados,33.0,1.0,22421-alaves-getafe
1,local,Mikel Rodriguez,,Goles,1.0,5.0,22421-alaves-getafe
1,local,Mariano,,Minutos jugados,33.0,1.0,22421-alaves-getafe
1,local,Mariano,,Goles,1.0,4.0,22421-alaves-getafe
1,local,Mariano,,Tarjetas amarillas,1.0,-1.0,22421-alaves-getafe
1,visitante,Soria,,Minutos jugados,90.0,2.0,22421-alaves-getafe
1,visitante,Soria,,Goles en contra,3.0,-2.0,22421-alaves-getafe
1,visitante,Femenia,,Minutos jugados,42.0,1.0,22421-alaves-getafe
1,visitante,Femenia,,Tarjetas rojas,1.0,-3.0,22421-alaves-getafe
1,visitante,Djené,,Minutos jugados,81.0,2.0,22421-alaves-getafe
1,visitante,Djené,,Tarjetas amarillas,1.0,-1.0,22421-alaves-getafe
1,visitante,Abqar,,Minutos jugados,90.0,2.0,22421-alaves-getafe
1,visitante,Abqar,,Goles en contra,3.0,-2.0,22421-alaves-getafe
1,visitante,Andrés García,,Minutos jugados,81.0,2.0,22421-alaves-getafe
1,visitante,Romero,,Minutos jugados,90.0,2.0,22421-alaves-getafe
1,visitante,Romero,,Goles en contra,3.0,-2.0,22421-alaves-getafe
1,visitante,Davinchi,,Minutos jugados,45.0,1.0,22421-alaves-getafe
1,visitante,Davinchi,,Tarjetas amarillas,1.0,-1.0,22421-alaves-getafe
1,visitante,Terrats,,Minutos jugados,90.0,2.0,22421-alaves-getafe
1,visitante,Terrats,,Goles en contra,3.0,-1.0,22421-alaves-getafe
1,visitante,Mangala,,Minutos jugados,90.0,2.0,22421-alaves-getafe
1,visitante,Mangala,,Goles en contra,3.0,-1.0,22421-alaves-getafe
1,visitante,Mario Martín,,Minutos jugados,66.0,2.0,22421-alaves-getafe
1,visitante,Mario Martín,,Goles en contra,0.0,2.0,22421-alaves-getafe
1,visitante,Mario Martín,,Tarjetas amarillas,1.0,-1.0,22421-alaves-getafe
1,visitante,Satriano,,Minutos jugados,73.0,2.0,22421-alaves-getafe
1,visitante,Satriano,,Goles en contra,0.0,1.0,22421-alaves-getafe
1,visitante,Sazonov,,Minutos jugados,9.0,1.0,22421-alaves-getafe
1,visitante,Sazonov,,Goles en contra,2.0,-2.0,22421-alaves-getafe
1,visitante,Valou,,Minutos jugados,17.0,1.0,22421-alaves-getafe
1,visitante,Valou,,Goles en contra,3.0,-2.0,22421-alaves-getafe
1,visitante,Boselli,,Minutos jugados,9.0,1.0,22421-alaves-getafe
1,visitante,Boselli,,Goles en contra,2.0,-2.0,22421-alaves-getafe
1,visitante,Risco,,Minutos jugados,24.0,1.0,22421-alaves-getafe
1,visitante,Risco,,Goles en contra,3.0,-1.0,22421-alaves-getafe
1,visitante,Enes Ünal,,Minutos jugados,45.0,1.0,22421-alaves-getafe
1,visitante,Enes Ünal,,Goles en contra,3.0,-1.0,22421-alaves-getafe
1,local,Oblak,,Minutos jugados,90.0,2.0,22422-atletico-malaga
1,local,Oblak,,Goles en contra,0.0,4.0,22422-atletico-malaga
1,local,Hancko,,Minutos jugados,90.0,2.0,22422-atletico-malaga
1,local,Hancko,,Goles en contra,0.0,3.0,22422-atletico-malaga
1,local,Hancko,,Tarjetas amarillas,1.0,-1.0,22422-atletico-malaga
1,local,Le Normand,,Minutos jugados,90.0,2.0,22422-atletico-malaga
1,local,Le Normand,,Goles en contra,0.0,3.0,22422-atletico-malaga
1,local,Dani Martínez,,Minutos jugados,90.0,2.0,22422-atletico-malaga
1,local,Dani Martínez,,Goles en contra,0.0,3.0,22422-atletico-malaga
1,local,Koke,,Minutos jugados,78.0,2.0,22422-atletico-malaga
1,local,Koke,,Goles en contra,0.0,2.0,22422-atletico-malaga
1,local,Barrios,,Minutos jugados,90.0,2.0,22422-atletico-malaga
1,local,Barrios,,Goles en contra,0.0,2.0,22422-atletico-malaga
1,local,Mendoza,,Minutos jugados,57.0,1.0,22422-atletico-malaga
1,local,Lookman,,Minutos jugados,90.0,2.0,22422-atletico-malaga
1,local,Lookman,,Goles en contra,0.0,1.0,22422-atletico-malaga
1,local,Carlos Martín,,Minutos jugados,57.0,1.0,22422-atletico-malaga
1,local,Ortiz,,Minutos jugados,57.0,1.0,22422-atletico-malaga
1,local,M. Llorente,,Minutos jugados,45.0,1.0,22422-atletico-malaga
1,local,Kang-In Lee,,Minutos jugados,33.0,1.0,22422-atletico-malaga
1,local,Kang-In Lee,,Goles,1.0,5.0,22422-atletico-malaga
1,local,Baena,,Minutos jugados,33.0,1.0,22422-atletico-malaga
1,local,Baena,,Goles,1.0,5.0,22422-atletico-malaga
1,local,Giuliano,,Minutos jugados,33.0,1.0,22422-atletico-malaga
1,local,Hjulmand,,Minutos jugados,12.0,1.0,22422-atletico-malaga
1,visitante,Herrero,,Minutos jugados,90.0,2.0,22422-atletico-malaga
1,visitante,Herrero,,Goles en contra,2.0,-2.0,22422-atletico-malaga
1,visitante,Galilea,,Minutos jugados,80.0,2.0,22422-atletico-malaga
1,visitante,Puga,,Minutos jugados,72.0,2.0,22422-atletico-malaga
1,visitante,Puga,,Tarjetas amarillas,1.0,-1.0,22422-atletico-malaga
1,visitante,Rafita,,Minutos jugados,90.0,2.0,22422-atletico-malaga
1,visitante,Rafita,,Goles en contra,2.0,-2.0,22422-atletico-malaga
1,visitante,Recio,,Minutos jugados,90.0,2.0,22422-atletico-malaga
1,visitante,Recio,,Goles en contra,2.0,-2.0,22422-atletico-malaga
1,visitante,Joaquín,,Minutos jugados,67.0,2.0,22422-atletico-malaga
1,visitante,Joaquín,,Goles en contra,0.0,1.0,22422-atletico-malaga
1,visitante,Larrubia,,Minutos jugados,90.0,2.0,22422-atletico-malaga
1,visitante,Larrubia,,Goles en contra,2.0,-1.0,22422-atletico-malaga
1,visitante,Dotor,,Minutos jugados,67.0,2.0,22422-atletico-malaga
1,visitante,Dotor,,Goles en contra,0.0,2.0,22422-atletico-malaga
1,visitante,Merino,,Minutos jugados,90.0,2.0,22422-atletico-malaga
1,visitante,Merino,,Goles en contra,2.0,-1.0,22422-atletico-malaga
1,visitante,Lorenzo,,Minutos jugados,80.0,2.0,22422-atletico-malaga
1,visitante,Chupete,,Minutos jugados,90.0,2.0,22422-atletico-malaga
1,visitante,Chupete,,Goles en contra,2.0,-1.0,22422-atletico-malaga
1,visitante,Salinas,,Minutos jugados,18.0,1.0,22422-atletico-malaga
1,visitante,Enríquez,,Minutos jugados,10.0,1.0,22422-atletico-malaga
1,visitante,Enríquez,,Tarjetas amarillas,1.0,-1.0,22422-atletico-malaga
1,visitante,Juan Cruz,,Minutos jugados,23.0,1.0,22422-atletico-malaga
1,visitante,Juan Cruz,,Goles en contra,2.0,-1.0,22422-atletico-malaga
1,visitante,Juan Cruz,,Tarjetas amarillas,1.0,-1.0,22422-atletico-malaga
1,visitante,Rafa Rodríguez,,Minutos jugados,23.0,1.0,22422-atletico-malaga
1,visitante,Rafa Rodríguez,,Goles en contra,2.0,-1.0,22422-atletico-malaga
1,visitante,Jauregi,,Minutos jugados,10.0,1.0,22422-atletico-malaga
1,local,Radu,,Minutos jugados,90.0,2.0,22423-celta-osasuna
1,local,Radu,,Goles en contra,2.0,-2.0,22423-celta-osasuna
1,local,M. Alonso,,Minutos jugados,51.0,1.0,22423-celta-osasuna
1,local,M. Alonso,,Tarjetas rojas,1.0,-3.0,22423-celta-osasuna
1,local,Galán,,Minutos jugados,65.0,2.0,22423-celta-osasuna
1,local,Galán,,Goles en contra,2.0,-2.0,22423-celta-osasuna
1,local,Javi Rodríguez,,Minutos jugados,90.0,2.0,22423-celta-osasuna
1,local,Javi Rodríguez,,Goles en contra,2.0,-2.0,22423-celta-osasuna
1,local,Rueda,,Minutos jugados,65.0,2.0,22423-celta-osasuna
1,local,Rueda,,Goles en contra,2.0,-2.0,22423-celta-osasuna
1,local,Lago,,Minutos jugados,90.0,2.0,22423-celta-osasuna
1,local,Lago,,Goles en contra,2.0,-2.0,22423-celta-osasuna
1,local,Moriba,,Minutos jugados,90.0,2.0,22423-celta-osasuna
1,local,Moriba,,Goles en contra,2.0,-1.0,22423-celta-osasuna
1,local,Swedberg,,Minutos jugados,65.0,2.0,22423-celta-osasuna
1,local,Swedberg,,Goles en contra,2.0,-1.0,22423-celta-osasuna
1,local,Román,,Minutos jugados,90.0,2.0,22423-celta-osasuna
1,local,Román,,Goles en contra,2.0,-1.0,22423-celta-osasuna
1,local,Aspas,,Minutos jugados,52.0,1.0,22423-celta-osasuna
1,local,Aspas,,Goles,1.0,4.0,22423-celta-osasuna
1,local,Durán,,Minutos jugados,79.0,2.0,22423-celta-osasuna
1,local,Durán,,Goles en contra,2.0,-1.0,22423-celta-osasuna
1,local,Carreira,,Minutos jugados,25.0,1.0,22423-celta-osasuna
1,local,Starfelt,,Minutos jugados,38.0,1.0,22423-celta-osasuna
1,local,Starfelt,,Goles en contra,2.0,-2.0,22423-celta-osasuna
1,local,Hugo Álvarez,,Minutos jugados,25.0,1.0,22423-celta-osasuna
1,local,El-Abdellaoui,,Minutos jugados,25.0,1.0,22423-celta-osasuna
1,local,Jutglà,,Minutos jugados,11.0,1.0,22423-celta-osasuna
1,visitante,Herrera,,Minutos jugados,90.0,2.0,22423-celta-osasuna
1,visitante,Catena,,Minutos jugados,90.0,2.0,22423-celta-osasuna
1,visitante,Herrando,,Minutos jugados,58.0,1.0,22423-celta-osasuna
1,visitante,Bretones,,Minutos jugados,90.0,2.0,22423-celta-osasuna
1,visitante,Arguibide,,Minutos jugados,90.0,2.0,22423-celta-osasuna
1,visitante,Torró,,Minutos jugados,90.0,2.0,22423-celta-osasuna
1,visitante,Kike Barja,,Minutos jugados,74.0,2.0,22423-celta-osasuna
1,visitante,Kike Barja,,Goles,1.0,4.0,22423-celta-osasuna
1,visitante,Moncayola,,Minutos jugados,45.0,1.0,22423-celta-osasuna
1,visitante,Moncayola,,Tarjetas amarillas,1.0,-1.0,22423-celta-osasuna
1,visitante,Dubasin,,Minutos jugados,58.0,1.0,22423-celta-osasuna
1,visitante,Osambela,,Minutos jugados,90.0,2.0,22423-celta-osasuna
1,visitante,Raúl García,,Minutos jugados,82.0,2.0,22423-celta-osasuna
1,visitante,Rubén G.,,Minutos jugados,32.0,1.0,22423-celta-osasuna
1,visitante,Moi Gómez,,Minutos jugados,16.0,1.0,22423-celta-osasuna
1,visitante,Oroz,,Minutos jugados,8.0,1.0,22423-celta-osasuna
1,visitante,Iker Muñoz,,Minutos jugados,45.0,1.0,22423-celta-osasuna
1,visitante,Budimir,,Minutos jugados,32.0,1.0,22423-celta-osasuna
1,visitante,Budimir,,Goles,1.0,4.0,22423-celta-osasuna
1,local,Leo Román,,Minutos jugados,90.0,2.0,22424-deportivo-elche
1,local,Ximo,,Minutos jugados,90.0,2.0,22424-deportivo-elche
1,local,Ximo,,Tarjetas amarillas,1.0,-1.0,22424-deportivo-elche
1,local,Altimira,,Minutos jugados,71.0,2.0,22424-deportivo-elche
1,local,Altimira,,Goles en contra,0.0,3.0,22424-deportivo-elche
1,local,Quagliata,,Minutos jugados,90.0,2.0,22424-deportivo-elche
1,local,Noubi,,Minutos jugados,90.0,2.0,22424-deportivo-elche
1,local,Ede,,Minutos jugados,90.0,2.0,22424-deportivo-elche
1,local,Mario,,Minutos jugados,71.0,2.0,22424-deportivo-elche
1,local,Mario,,Goles en contra,0.0,2.0,22424-deportivo-elche
1,local,Amatucci,,Minutos jugados,90.0,2.0,22424-deportivo-elche
1,local,Amatucci,,Tarjetas amarillas,1.0,-1.0,22424-deportivo-elche
1,local,Asp Jensen,,Minutos jugados,60.0,2.0,22424-deportivo-elche
1,local,Asp Jensen,,Goles en contra,0.0,2.0,22424-deportivo-elche
1,local,Aubameyang,,Minutos jugados,85.0,2.0,22424-deportivo-elche
1,local,Aubameyang,,Goles,1.0,4.0,22424-deportivo-elche
1,local,Bil Nsongo,,Minutos jugados,60.0,2.0,22424-deportivo-elche
1,local,Bil Nsongo,,Goles en contra,0.0,1.0,22424-deportivo-elche
1,local,Luismi,,Minutos jugados,19.0,1.0,22424-deportivo-elche
1,local,Villares,,Minutos jugados,30.0,1.0,22424-deportivo-elche
1,local,Mella,,Minutos jugados,19.0,1.0,22424-deportivo-elche
1,local,Eddahchouri,,Minutos jugados,30.0,1.0,22424-deportivo-elche
1,visitante,Dituro,,Minutos jugados,90.0,2.0,22424-deportivo-elche
1,visitante,Chust,,Minutos jugados,90.0,2.0,22424-deportivo-elche
1,visitante,Affengruber,,Minutos jugados,90.0,2.0,22424-deportivo-elche
1,visitante,Sangaré,,Minutos jugados,90.0,2.0,22424-deportivo-elche
1,visitante,Villar,,Minutos jugados,90.0,2.0,22424-deportivo-elche
1,visitante,Villar,,Tarjetas amarillas,1.0,-1.0,22424-deportivo-elche
1,visitante,Valera,,Minutos jugados,81.0,2.0,22424-deportivo-elche
1,visitante,Aguado,,Minutos jugados,90.0,2.0,22424-deportivo-elche
1,visitante,Aguado,,Goles,1.0,5.0,22424-deportivo-elche
1,visitante,Martim Neto,,Minutos jugados,60.0,2.0,22424-deportivo-elche
1,visitante,Redondo,,Minutos jugados,60.0,2.0,22424-deportivo-elche
1,visitante,Fer Niño,,Minutos jugados,69.0,2.0,22424-deportivo-elche
1,visitante,Tete Morente,,Minutos jugados,30.0,1.0,22424-deportivo-elche
1,visitante,Cepeda,,Minutos jugados,30.0,1.0,22424-deportivo-elche
1,local,Dmitrovic,,Minutos jugados,90.0,2.0,22425-espanyol-levante
1,local,Dmitrovic,,Goles en contra,0.0,4.0,22425-espanyol-levante
1,local,U. Núñez,,Minutos jugados,90.0,2.0,22425-espanyol-levante
1,local,U. Núñez,,Goles en contra,0.0,3.0,22425-espanyol-levante
1,local,El Hilali,,Minutos jugados,90.0,2.0,22425-espanyol-levante
1,local,El Hilali,,Goles en contra,0.0,3.0,22425-espanyol-levante
1,local,Riedel,,Minutos jugados,90.0,2.0,22425-espanyol-levante
1,local,Riedel,,Goles en contra,0.0,3.0,22425-espanyol-levante
1,local,Edu Expósito,,Minutos jugados,86.0,2.0,22425-espanyol-levante
1,local,Edu Expósito,,Goles en contra,0.0,2.0,22425-espanyol-levante
1,local,Urko,,Minutos jugados,72.0,2.0,22425-espanyol-levante
1,local,Urko,,Goles en contra,0.0,2.0,22425-espanyol-levante
1,local,Urko,,Tarjetas amarillas,1.0,-1.0,22425-espanyol-levante
1,local,Calatrava,,Minutos jugados,72.0,2.0,22425-espanyol-levante
1,local,Calatrava,,Goles en contra,0.0,1.0,22425-espanyol-levante
1,local,Calatrava,,Tarjetas amarillas,1.0,-1.0,22425-espanyol-levante
1,local,Roberto,,Minutos jugados,90.0,2.0,22425-espanyol-levante
1,local,Roberto,,Goles,2.0,8.0,22425-espanyol-levante
1,local,Roberto,,Goles en contra,0.0,1.0,22425-espanyol-levante
1,local,Dolan,,Minutos jugados,81.0,2.0,22425-espanyol-levante
1,local,Dolan,,Goles,1.0,4.0,22425-espanyol-levante
1,local,Dolan,,Goles en contra,0.0,1.0,22425-espanyol-levante
1,local,Pere Milla,,Minutos jugados,8.0,1.0,22425-espanyol-levante
1,local,Lozano,,Minutos jugados,18.0,1.0,22425-espanyol-levante
1,local,Jofre,,Minutos jugados,9.0,1.0,22425-espanyol-levante
1,local,Marcos,,Minutos jugados,4.0,1.0,22425-espanyol-levante
1,visitante,Ryan,,Minutos jugados,90.0,2.0,22425-espanyol-levante
1,visitante,Ryan,,Goles en contra,3.0,-2.0,22425-espanyol-levante
1,visitante,De la Fuente,,Minutos jugados,90.0,2.0,22425-espanyol-levante
1,visitante,De la Fuente,,Goles en contra,3.0,-2.0,22425-espanyol-levante
1,visitante,Manu Sánchez,,Minutos jugados,90.0,2.0,22425-espanyol-levante
1,visitante,Manu Sánchez,,Goles en contra,3.0,-2.0,22425-espanyol-levante
1,visitante,Víctor García,,Minutos jugados,76.0,2.0,22425-espanyol-levante
1,visitante,Víctor García,,Goles en contra,2.0,-2.0,22425-espanyol-levante
1,visitante,Nacho Pérez,,Minutos jugados,76.0,2.0,22425-espanyol-levante
1,visitante,Nacho Pérez,,Goles en contra,2.0,-2.0,22425-espanyol-levante
1,visitante,Oriol Rey,,Minutos jugados,90.0,2.0,22425-espanyol-levante
1,visitante,Oriol Rey,,Goles en contra,3.0,-1.0,22425-espanyol-levante
1,visitante,C. Álvarez,,Minutos jugados,45.0,1.0,22425-espanyol-levante
1,visitante,C. Álvarez,,Goles en contra,2.0,-1.0,22425-espanyol-levante
1,visitante,Olasagasti,,Minutos jugados,90.0,2.0,22425-espanyol-levante
1,visitante,Olasagasti,,Goles en contra,3.0,-1.0,22425-espanyol-levante
1,visitante,Cortés,,Minutos jugados,45.0,1.0,22425-espanyol-levante
1,visitante,Cortés,,Goles en contra,2.0,-1.0,22425-espanyol-levante
1,visitante,Iván Romero,,Minutos jugados,64.0,2.0,22425-espanyol-levante
1,visitante,Iván Romero,,Goles en contra,2.0,-1.0,22425-espanyol-levante
1,visitante,Toljan,,Minutos jugados,14.0,1.0,22425-espanyol-levante
1,visitante,Tunde,,Minutos jugados,14.0,1.0,22425-espanyol-levante
1,visitante,Etta Eyong,,Minutos jugados,45.0,1.0,22425-espanyol-levante
1,local,Joan Garcia,,Minutos jugados,90.0,2.0,22426-barcelona-athletic
1,local,Joan Garcia,,Goles en contra,0.0,4.0,22426-barcelona-athletic
1,local,Eric Garcia,,Minutos jugados,80.0,2.0,22426-barcelona-athletic
1,local,Eric Garcia,,Goles en contra,0.0,3.0,22426-barcelona-athletic
1,local,Cubarsí,,Minutos jugados,90.0,2.0,22426-barcelona-athletic
1,local,Cubarsí,,Goles en contra,0.0,3.0,22426-barcelona-athletic
1,local,Martín,,Minutos jugados,90.0,2.0,22426-barcelona-athletic
1,local,Martín,,Goles en contra,0.0,3.0,22426-barcelona-athletic
1,local,Espart,,Minutos jugados,90.0,2.0,22426-barcelona-athletic
1,local,Espart,,Goles en contra,0.0,3.0,22426-barcelona-athletic
1,local,Espart,,Tarjetas amarillas,1.0,-1.0,22426-barcelona-athletic
1,local,Pedri,,Minutos jugados,85.0,2.0,22426-barcelona-athletic
1,local,Pedri,,Goles en contra,0.0,2.0,22426-barcelona-athletic
1,local,Fermín,,Minutos jugados,90.0,2.0,22426-barcelona-athletic
1,local,Fermín,,Goles,1.0,5.0,22426-barcelona-athletic
1,local,Fermín,,Goles en contra,0.0,2.0,22426-barcelona-athletic
1,local,Bernal,,Minutos jugados,63.0,2.0,22426-barcelona-athletic
1,local,Bernal,,Goles en contra,0.0,2.0,22426-barcelona-athletic
1,local,Raphinha,,Minutos jugados,63.0,2.0,22426-barcelona-athletic
1,local,Raphinha,,Goles,1.0,4.0,22426-barcelona-athletic
1,local,Raphinha,,Goles en contra,0.0,1.0,22426-barcelona-athletic
1,local,Gordon,,Minutos jugados,80.0,2.0,22426-barcelona-athletic
1,local,Gordon,,Goles en contra,0.0,1.0,22426-barcelona-athletic
1,local,Yamal,,Minutos jugados,90.0,2.0,22426-barcelona-athletic
1,local,Yamal,,Goles en contra,0.0,1.0,22426-barcelona-athletic
1,local,Cancelo,,Minutos jugados,5.0,1.0,22426-barcelona-athletic
1,local,Koundé,,Minutos jugados,10.0,1.0,22426-barcelona-athletic
1,local,Olmo,,Minutos jugados,27.0,1.0,22426-barcelona-athletic
1,local,Rodri,,Minutos jugados,27.0,1.0,22426-barcelona-athletic
1,local,Adeyemi,,Minutos jugados,10.0,1.0,22426-barcelona-athletic
1,visitante,Unai Simón,,Minutos jugados,90.0,2.0,22426-barcelona-athletic
1,visitante,Unai Simón,,Goles en contra,2.0,-2.0,22426-barcelona-athletic
1,visitante,Laporte,,Minutos jugados,90.0,2.0,22426-barcelona-athletic
1,visitante,Laporte,,Goles en contra,2.0,-2.0,22426-barcelona-athletic
1,visitante,Yeray,,Minutos jugados,90.0,2.0,22426-barcelona-athletic
1,visitante,Yeray,,Goles en contra,2.0,-2.0,22426-barcelona-athletic
1,visitante,Rincón,,Minutos jugados,90.0,2.0,22426-barcelona-athletic
1,visitante,Rincón,,Goles en contra,2.0,-2.0,22426-barcelona-athletic
1,visitante,Johaneko,,Minutos jugados,70.0,2.0,22426-barcelona-athletic
1,visitante,Johaneko,,Tarjetas amarillas,1.0,-1.0,22426-barcelona-athletic
1,visitante,Sancet,,Minutos jugados,90.0,2.0,22426-barcelona-athletic
1,visitante,Sancet,,Goles en contra,2.0,-1.0,22426-barcelona-athletic
1,visitante,Jauregizar,,Minutos jugados,70.0,2.0,22426-barcelona-athletic
1,visitante,Canales,,Minutos jugados,90.0,2.0,22426-barcelona-athletic
1,visitante,Canales,,Goles en contra,2.0,-1.0,22426-barcelona-athletic
1,visitante,I. Williams,,Minutos jugados,60.0,2.0,22426-barcelona-athletic
1,visitante,Guruzeta,,Minutos jugados,81.0,2.0,22426-barcelona-athletic
1,visitante,Guruzeta,,Tarjetas amarillas,1.0,-1.0,22426-barcelona-athletic
1,visitante,N. Williams,,Minutos jugados,60.0,2.0,22426-barcelona-athletic
1,visitante,Boiro,,Minutos jugados,20.0,1.0,22426-barcelona-athletic
1,visitante,Berenguer,,Minutos jugados,30.0,1.0,22426-barcelona-athletic
1,visitante,Navarro,,Minutos jugados,30.0,1.0,22426-barcelona-athletic
1,visitante,Gerenabarrena,,Minutos jugados,20.0,1.0,22426-barcelona-athletic
1,visitante,Djaló,,Minutos jugados,9.0,1.0,22426-barcelona-athletic
1,local,Agirrezabala,,Minutos jugados,90.0,2.0,22427-racing-villarreal
1,local,Agirrezabala,,Goles en contra,2.0,-2.0,22427-racing-villarreal
1,local,Pablo Ramón,,Minutos jugados,77.0,2.0,22427-racing-villarreal
1,local,Pablo Ramón,,Goles en contra,2.0,-2.0,22427-racing-villarreal
1,local,Pablo Ramón,,Tarjetas amarillas,1.0,-1.0,22427-racing-villarreal
1,local,Mantilla,,Minutos jugados,90.0,2.0,22427-racing-villarreal
1,local,Mantilla,,Goles en contra,2.0,-2.0,22427-racing-villarreal
1,local,Salinas,,Minutos jugados,90.0,2.0,22427-racing-villarreal
1,local,Salinas,,Goles en contra,2.0,-2.0,22427-racing-villarreal
1,local,Pedro Felipe,,Minutos jugados,16.0,1.0,22427-racing-villarreal
1,local,Canales,,Minutos jugados,77.0,2.0,22427-racing-villarreal
1,local,Canales,,Goles en contra,2.0,-1.0,22427-racing-villarreal
1,local,Iñigo Vicente,,Minutos jugados,90.0,2.0,22427-racing-villarreal
1,local,Iñigo Vicente,,Goles en contra,2.0,-1.0,22427-racing-villarreal
1,local,Puerta,,Minutos jugados,90.0,2.0,22427-racing-villarreal
1,local,Puerta,,Goles en contra,2.0,-1.0,22427-racing-villarreal
1,local,Puerta,,Tarjetas amarillas,1.0,-1.0,22427-racing-villarreal
1,local,Sergio Martínez,,Minutos jugados,69.0,2.0,22427-racing-villarreal
1,local,Sergio Martínez,,Goles,1.0,5.0,22427-racing-villarreal
1,local,Sergio Martínez,,Goles en contra,2.0,-1.0,22427-racing-villarreal
1,local,Villalibre,,Minutos jugados,69.0,2.0,22427-racing-villarreal
1,local,Villalibre,,Goles en contra,2.0,-1.0,22427-racing-villarreal
1,local,Andrés Martín,,Minutos jugados,90.0,2.0,22427-racing-villarreal
1,local,Andrés Martín,,Goles,1.0,4.0,22427-racing-villarreal
1,local,Andrés Martín,,Goles en contra,2.0,-1.0,22427-racing-villarreal
1,local,Hernando,,Minutos jugados,74.0,2.0,22427-racing-villarreal
1,local,Hernando,,Goles en contra,2.0,-2.0,22427-racing-villarreal
1,local,Facu González,,Minutos jugados,13.0,1.0,22427-racing-villarreal
1,local,Maguette,,Minutos jugados,21.0,1.0,22427-racing-villarreal
1,local,Diego Diaz,,Minutos jugados,13.0,1.0,22427-racing-villarreal
1,local,Zabiri,,Minutos jugados,21.0,1.0,22427-racing-villarreal
1,visitante,Luiz Junior,,Minutos jugados,90.0,2.0,22427-racing-villarreal
1,visitante,Luiz Junior,,Goles en contra,2.0,-2.0,22427-racing-villarreal
1,visitante,Foyth,,Minutos jugados,90.0,2.0,22427-racing-villarreal
1,visitante,Foyth,,Goles en contra,2.0,-2.0,22427-racing-villarreal
1,visitante,Foyth,,Tarjetas amarillas,1.0,-1.0,22427-racing-villarreal
1,visitante,Veiga,,Minutos jugados,90.0,2.0,22427-racing-villarreal
1,visitante,Veiga,,Goles en contra,2.0,-2.0,22427-racing-villarreal
1,visitante,Romero,,Minutos jugados,90.0,2.0,22427-racing-villarreal
1,visitante,Romero,,Goles en contra,2.0,-2.0,22427-racing-villarreal
1,visitante,Romero,,Tarjetas amarillas,1.0,-1.0,22427-racing-villarreal
1,visitante,Mouriño,,Minutos jugados,88.0,2.0,22427-racing-villarreal
1,visitante,Mouriño,,Goles en contra,2.0,-2.0,22427-racing-villarreal
1,visitante,Mouriño,,Tarjetas amarillas,1.0,-1.0,22427-racing-villarreal
1,visitante,Comesaña,,Minutos jugados,56.0,1.0,22427-racing-villarreal
1,visitante,Comesaña,,Goles en contra,2.0,-1.0,22427-racing-villarreal
1,visitante,Pape Gueye,,Minutos jugados,90.0,2.0,22427-racing-villarreal
1,visitante,Pape Gueye,,Goles,1.0,5.0,22427-racing-villarreal
1,visitante,Pape Gueye,,Goles en contra,2.0,-1.0,22427-racing-villarreal
1,visitante,Pape Gueye,,Tarjetas amarillas,1.0,-1.0,22427-racing-villarreal
1,visitante,Moleiro,,Minutos jugados,56.0,1.0,22427-racing-villarreal
1,visitante,Moleiro,,Goles en contra,2.0,-1.0,22427-racing-villarreal
1,visitante,Ayoze,,Minutos jugados,56.0,1.0,22427-racing-villarreal
1,visitante,Ayoze,,Goles en contra,2.0,-1.0,22427-racing-villarreal
