Titulares,P,CA,T,TaP,C,CP,CF,FR,FC,PI,BR,Reg,PC,P%,GS,Eventos
Jan Oblak,1,0,0,0,0,0,0,0,0,0,0,0,0,78.9,0,
Marcos Llorente,-,-,2,2,2,0,1,0,0,2,0,0,2,92.6,0,
Álex Grimaldo,-,-,1,0,6,0,1,0,0,0,2,2,0,87.5,0,
David Hancko,-,-,0,0,0,0,0,0,0,2,0,3,0,90.3,0,
Marc Pubill,-,-,0,0,0,0,0,1,3,0,2,0,0,94,0,
