Titulares,,,,,,,,,
Oblak,,★,3,5.5,0,★,-,,1 -3 -2 2 -3 -2 -1 -2 2 2 -9 -3.0 2 1 -2 2 1 0 -2
Ver la ficha del jugador 90  Minutos jugados 2 p 3  Goles en contra -2 p 6  Balones recuperados 1 p Puntos DAZN 0 p Ver la ficha del jugador 1  Paradas 3 p 3  Goles encajados -6 p Ver la ficha del jugador Ver la ficha del jugador Ver la ficha del jugador Ver la ficha del jugador Ver la ficha del jugador Ver la ficha del jugador Ver la ficha del jugador Ver la ficha del jugador Ver la ficha del jugador 1  Paradas 2 p 3  Goles encajados -9 p Resultado -2 p Ver la ficha del jugador Nota TdJ : 3 -1 p 1  Paradas 1 p 3  Goles encajados -3 p Ver la ficha del jugador Ver la ficha del jugador Ver la ficha del jugador Ver la ficha del jugador Ver la ficha del jugador Ver la ficha del jugador Ver la ficha del jugador
M. Llorente,,★,4,6.2,2,★,-,,3 7 2 2 1 1 2 5 2 2 8 4.1 2 3 1 2 2 2 1
Ver la ficha del jugador 90  Minutos jugados 2 p 3  Goles en contra -2 p 2  Tiros a puerta 1 p 7  Balones recuperados 1 p 8  Posesiones perdidas -1 p Puntos DAZN 2 p Ver la ficha del jugador 2  Tiros a puerta 6 p 1  Córners forzados 1 p 2  Pases clave 2 p 2  Pases interceptados 2 p 3  Goles encajados -6 p 2  Despejes efectivos 2 p Ver la ficha del jugador Ver la ficha del jugador Ver la ficha del jugador Ver la ficha del jugador Ver la ficha del jugador Ver la ficha del jugador Ver la ficha del jugador Ver la ficha del jugador Ver la ficha del jugador 2  Tiros a puerta 6 p 2  Pases interceptados 2 p Ver la ficha del jugador Nota TdJ : 4 0 p 2  Tiros a puerta 2 p 1  Córners forzados 0.3 p 2  Pases clave 0.6 p 2  Pases interceptados 0.6 p 3  Goles encajados -0.9 p 92  Precisión pases 1.5 p 2  Despejes 0.2 p Ver la ficha del jugador Ver la ficha del jugador Ver la ficha del jugador Ver la ficha del jugador Ver la ficha del jugador Ver la ficha del jugador Ver la ficha del jugador
Grimaldo,-,-,3,6.4,2,-,-,,3 3 2 -2 2 0 0 4 -2 -2 3 1.4 -2 2 2 -2 -1 0 2
