fecha,jugador,equipo,valor
2026-09-20,Angeliño Angeliño,Deportivo,1396000
2026-09-20,Nicolás Valentini Valentini,Alavés,414000
2026-09-20,Altay Bayindir Bayindir,Celta,160000
2026-09-20,Orel Mangala Mangala,Getafe,2235000
2026-09-20,Facundo Buonanotte Buonanotte,Elche,2230000
2026-09-20,Robbie Ure Ure,Sevilla,2818000
2026-09-20,Rockson Yeboah Yeboah,Osasuna,511000
2026-09-20,Georgiy Tsitaishvili Tsitaishvili,Rayo,481000
2026-09-20,Cristian Romero Romero,Atlético,9241000
2026-09-20,Jorge Domínguez Jorge Domínguez,Atlético,160000
2026-09-20,Arnau Ortiz Ortiz,Atlético,403000
2026-09-20,Ezequiel Ponce Ponce,Elche,533000
2026-09-20,Vanja Drkusic Drkusic,Espanyol,387000
2026-09-20,Marc Santos Marc Santos,Levante,192000
2026-09-20,Rodrigo Gamón Gamón,Valencia,160000
2026-09-20,Rodri Hernández Rodri,Barcelona,14132000
2026-09-20,Francho Serrano Francho,Getafe,165000
2026-09-20,Troy Parrott Parrott,Betis,6307000
2026-09-20,Álvaro Padilla Padilla,Elche,198000
2026-09-20,Giorgi Kochorashvili Kochorashvili,Sevilla,1572000
2026-09-20,Jordi Pesquer Pesquer,Barcelona,194000
2026-09-20,Ifeanyi Ndukwe Ndukwe,Levante,195000
2026-09-20,Kayne van Oevelen Van Oevelen,Valencia,162000
2026-09-20,Couhaib Driouech Driouech,Celta,541000
2026-09-20,Nathan-Dylan Saliba Saliba,Villarreal,2860000
2026-09-20,Johaneko Louis-Jean Johaneko,Athletic,1042000
2026-09-20,Adama Traoré A. Traoré,Deportivo,2825000
2026-09-20,Matteo Prati Prati,Racing,487000
2026-09-20,Gnangoro Bouare Bouare,Rayo,615000
2026-09-20,Alex Marchal Marchal,Real Sociedad,363000
2026-09-20,Salvi Esquivel Esquivel,Atlético,160000
2026-09-20,Jonathan David Jonathan David,Atlético,7157000
2026-09-20,Brian Fariñas Fariñas,Barcelona,169000
2026-09-20,Gabriel Jesus Gabriel Jesús,Barcelona,5618000
2026-09-20,Sebastián Cáceres Cáceres,Celta,541000
2026-09-20,Kevin Lomónaco Lomónaco,Elche,982000
2026-09-20,Matia Barzic Barzic,Elche,170000
2026-09-20,Roy Revivo Revivo,Elche,449000
2026-09-20,Iván Azón Iván Azón,Getafe,850000
2026-09-20,Axel Tape Tape,Levante,277000
2026-09-20,Petar Ratkov Ratkov,Levante,1239000
2026-09-20,Jens Cajuste Cajuste,Málaga,398000
2026-09-20,Romain Del Castillo Del Castillo,Osasuna,1127000
2026-09-20,Aarón Martín Aarón,Racing,175000
2026-09-20,Jeanuël Belocian Belocian,Racing,2056000
2026-09-20,Emil Audero Audero,Rayo,1172000
2026-09-20,Mujaid Sadick Mujaid,Rayo,537000
2026-09-20,Mamadou Sarr M. Sarr,Real Sociedad,4149000
2026-09-20,Félix Correia Félix Correia,Sevilla,1276000
2026-09-20,Youssouf Fofana Fofana,Sevilla,5521000
2026-09-20,Lucas Stassin Stassin,Sevilla,5054000
2026-09-20,Harvey Elliott Elliott,Valencia,4123000
2026-09-20,Xanet Oláiz Oláiz,Alavés,160000
2026-09-20,Óscar López Óscar López,Getafe,206000
2026-09-20,Iker Córdoba Córdoba,Valencia,292000
2026-09-20,Aaron Ndive Mayol Mayol,Valencia,373000
2026-09-20,Unai Santos Unai Santos,Osasuna,160000
2026-09-20,José Ángel López José Ángel,Espanyol,200000
2026-09-20,Joselu Pérez Joselu,Getafe,167000
2026-09-20,Jorge Montes Montes,Getafe,187000
2026-09-20,Miguel Cubo Cubo,Atlético,170000
2026-09-20,Daniel Yáñez Yáñez,Real Madrid,170000
2026-09-20,Hugo Burcio Burcio,Celta,183000
2026-09-20,Jorge Cestero Cestero,Real Madrid,168000
2026-09-20,Carlos Ballestero Ballestero,Alavés,160000
2026-09-20,Taufik Seidu Taufik,Atlético,169000
2026-09-20,Diego Aguado D. Aguado,Real Madrid,160000
2026-09-20,Gorka Carrera Carrera,Real Sociedad,160000
2026-09-20,Aleksa Puric Puric,Atlético,163000
2026-09-20,Álvaro Leiva Leiva,Real Madrid,181000
2026-09-20,Marc Doménech Doménech,Atlético,160000
2026-09-20,Arkaitz Mariezkurrena Mariezkurrena,Real Sociedad,160000
2026-09-20,Lander Pinillos Pinillos,Alavés,160000
2026-09-20,Antal Yaakobishvili Yaakobishvili,Atlético,292000
2026-09-20,Alberto Risco Risco,Getafe,160000
2026-09-20,Dani Díaz Dani Díaz,Real Sociedad,160000
2026-09-20,Stefan Bajcetic Bajcetic,Celta,165000
2026-09-20,Coke Carrillo Carrillo,Celta,160000
